County,State(Code),Deaths,Population,Crude Rate Per 100000
Tazewell County, IL (17179),16,"134,385",Unreliable
Vermilion County, IL (17183),13,"78,111",Unreliable
Whiteside County, IL (17195),12,"56,536",Unreliable
Will County, IL (17197),76,"689,529",11
Williamson County, IL (17199),11,"67,560",Unreliable
Winnebago County, IL (17201),43,"285,873",15
Woodford County, IL (17203),12,"39,140",Unreliable
Allen County, IN (18003),40,"370,404",10.8
Bartholomew County, IN (18005),10,"81,402",Unreliable
Clark County, IN (18019),16,"116,031",Unreliable
Dearborn County, IN (18029),13,"49,331",Unreliable
De Kalb County, IN (18033),10,"42,746",Unreliable
Delaware County, IN (18035),16,"115,603",Unreliable
Elkhart County, IN (18039),22,"203,781",10.8
Floyd County, IN (18043),16,"76,990",Unreliable
Grant County, IN (18053),10,"66,937",Unreliable
Hamilton County, IN (18057),39,"316,373",12.3
Hancock County, IN (18059),14,"73,717",Unreliable
Hendricks County, IN (18063),28,"160,610",17.4
Henry County, IN (18065),11,"48,521",Unreliable
Howard County, IN (18067),15,"82,568",Unreliable
Jefferson County, IN (18077),13,"32,418",Unreliable
Jennings County, IN (18079),10,"27,758",Unreliable
Johnson County, IN (18081),17,"151,982",Unreliable
Kosciusko County, IN (18085),13,"79,092",Unreliable
Lake County, IN (18089),75,"485,846",15.4
La Porte County, IN (18091),11,"110,015",Unreliable
Madison County, IN (18095),22,"129,296",17
Marion County, IN (18097),143,"941,229",15.2
Monroe County, IN (18105),28,"145,496",19.2
Morgan County, IN (18109),10,"69,698",Unreliable
Porter County, IN (18127),28,"167,791",16.7
St. Joseph County, IN (18141),44,"269,141",16.3
Tippecanoe County, IN (18157),17,"188,059",Unreliable
Vanderburgh County, IN (18163),31,"181,721",17.1
Vigo County, IN (18167),25,"107,931",23.2
Wayne County, IN (18177),15,"66,568",Unreliable
Black Hawk County, IA (19013),23,"132,904",17.3
Dallas County, IA (19049),13,"84,516",Unreliable
Dubuque County, IA (19061),12,"97,003",Unreliable
Johnson County, IA (19103),16,"146,547",Unreliable
Linn County, IA (19113),40,"221,661",18
Polk County, IA (19153),71,"474,045",15
Pottawattamie County, IA (19155),15,"93,582",Unreliable
Scott County, IA (19163),19,"172,474",Unreliable
Woodbury County, IA (19193),10,"102,779",Unreliable
Butler County, KS (20015),15,"67,025",Unreliable
Douglas County, KS (20045),14,"119,440",Unreliable
Johnson County, KS (20091),84,"584,451",14.4
Leavenworth County, KS (20103),15,"80,204",Unreliable
Reno County, KS (20155),12,"63,220",Unreliable
Riley County, KS (20161),10,"73,343",Unreliable
Sedgwick County, KS (20173),99,"511,995",19.3
Shawnee County, KS (20177),41,"178,146",23
Wyandotte County, KS (20209),27,"163,831",16.5
Boone County, KY (21015),16,"128,536",Unreliable
Boyd County, KY (21019),13,"48,132",Unreliable
Bullitt County, KY (21029),12,"79,151",Unreliable
Christian County, KY (21047),12,"72,351",Unreliable
Daviess County, KY (21059),32,"99,674",32.1
Fayette County, KY (21067),49,"318,449",15.4
Greenup County, KY (21089),10,"35,893",Unreliable
Hardin County, KY (21093),18,"107,316",Unreliable
Jefferson County, KY (21111),139,"765,352",18.2
Kenton County, KY (21117),22,"164,945",13.3
Lincoln County, KY (21137),10,"24,372",Unreliable
McCracken County, KY (21145),15,"65,162",Unreliable
Madison County, KY (21151),12,"89,547",Unreliable
Marshall County, KY (21157),10,"31,365",Unreliable
Pike County, KY (21195),13,"60,555",Unreliable
Warren County, KY (21227),20,"125,532",15.9
Acadia Parish, LA (22001),13,"62,645",Unreliable
Ascension Parish, LA (22005),15,"121,587",Unreliable
Avoyelles Parish, LA (22009),11,"41,117",Unreliable
