County,State(Code),Deaths,Population,Crude Rate Per 100000
Tangipahoa Parish, LA (22105),22,"130,710",16.8
Union Parish, LA (22111),11,"22,487",Unreliable
Aroostook County, ME (23003),12,"67,959",Unreliable
Cumberland County, ME (23005),19,"292,041",Unreliable
Kennebec County, ME (23011),11,"120,569",Unreliable
Oxford County, ME (23017),15,"57,217",Unreliable
Penobscot County, ME (23019),11,"151,806",Unreliable
York County, ME (23031),10,"202,343",Unreliable
Anne Arundel County, MD (24003),42,"568,346",7.4
Baltimore County, MD (24005),88,"831,026",10.6
Carroll County, MD (24013),10,"167,656",Unreliable
Charles County, MD (24017),20,"157,705",12.7
Frederick County, MD (24021),18,"247,591",Unreliable
Harford County, MD (24025),16,"251,032",Unreliable
Howard County, MD (24027),28,"317,233",8.8
Montgomery County, MD (24031),72,"1,043,863",6.9
Prince George's County, MD (24033),94,"908,049",10.4
St. Mary's County, MD (24037),10,"112,587",Unreliable
Washington County, MD (24043),24,"150,292",16
Wicomico County, MD (24045),16,"102,577",Unreliable
Baltimore city, MD (24510),77,"614,664",12.5
Barnstable County, MA (25001),28,"214,276",13.1
Berkshire County, MA (25003),22,"126,903",17.3
Bristol County, MA (25005),47,"558,324",8.4
Essex County, MA (25009),65,"779,018",8.3
Hampden County, MA (25013),54,"468,467",11.5
Hampshire County, MA (25015),11,"161,816",Unreliable
Middlesex County, MA (25017),117,"1,589,774",7.4
Norfolk County, MA (25021),73,"697,181",10.5
Plymouth County, MA (25023),38,"513,565",7.4
Suffolk County, MA (25025),81,"784,230",10.3
Worcester County, MA (25027),79,"819,589",9.6
Berrien County, MI (26021),19,"154,010",Unreliable
Calhoun County, MI (26025),15,"134,386",Unreliable
Eaton County, MI (26045),20,"109,160",18.3
Genesee County, MI (26049),42,"408,615",10.3
Ingham County, MI (26065),12,"288,051",Unreliable
Jackson County, MI (26075),19,"158,460",Unreliable
Kalamazoo County, MI (26077),14,"261,654",Unreliable
Kent County, MI (26081),41,"642,173",6.4
Lenawee County, MI (26091),14,"98,504",Unreliable
Livingston County, MI (26093),15,"188,624",Unreliable
Macomb County, MI (26099),94,"867,730",10.8
Monroe County, MI (26115),15,"149,208",Unreliable
Muskegon County, MI (26121),20,"173,408",11.5
Oakland County, MI (26125),110,"1,243,970",8.8
Ottawa County, MI (26139),17,"282,250",Unreliable
Saginaw County, MI (26145),22,"192,326",11.4
St. Clair County, MI (26147),31,"159,587",19.4
Washtenaw County, MI (26161),19,"364,709",Unreliable
Wayne County, MI (26163),198,"1,749,366",11.3
Anoka County, MN (27003),25,"345,957",7.2
Dakota County, MN (27037),28,"417,486",6.7
Douglas County, MN (27041),11,"37,456",Unreliable
Hennepin County, MN (27053),128,"1,232,483",10.4
Ramsey County, MN (27123),52,"540,649",9.6
St. Louis County, MN (27137),31,"199,980",15.5
Scott County, MN (27139),17,"143,680",Unreliable
Sherburne County, MN (27141),11,"93,528",Unreliable
Stearns County, MN (27145),15,"155,652",Unreliable
Washington County, MN (27163),13,"253,117",Unreliable
Wright County, MN (27171),11,"132,550",Unreliable
Bolivar County, MS (28011),18,"32,737",Unreliable
DeSoto County, MS (28033),23,"175,611",13.1
