County,State(Code),Deaths,Population,Crude Rate Per 100000
Edgecombe County, NC (37065),11,"53,318",Unreliable
Forsyth County, NC (37067),27,"371,511",7.3
Gaston County, NC (37071),19,"216,965",Unreliable
Guilford County, NC (37081),45,"521,330",8.6
Halifax County, NC (37083),11,"51,766",Unreliable
Henderson County, NC (37089),10,"114,209",Unreliable
Iredell County, NC (37097),14,"172,916",Unreliable
Johnston County, NC (37101),17,"191,450",Unreliable
Mecklenburg County, NC (37119),34,"1,054,835",3.2
Moore County, NC (37125),14,"95,776",Unreliable
Nash County, NC (37127),18,"94,005",Unreliable
New Hanover County, NC (37129),13,"223,483",Unreliable
Onslow County, NC (37133),11,"187,136",Unreliable
Randolph County, NC (37151),18,"143,416",Unreliable
Robeson County, NC (37155),14,"133,235",Unreliable
Rockingham County, NC (37157),12,"91,393",Unreliable
Wake County, NC (37183),41,"1,046,791",3.9
Cass County, ND (38017),13,"175,249",Unreliable
Morton County, ND (38059),11,"30,809",Unreliable
Ward County, ND (38101),10,"70,210",Unreliable
Butler County, OH (39017),38,"377,537",10.1
Clark County, OH (39023),12,"134,786",Unreliable
Columbiana County, OH (39029),17,"103,685",Unreliable
Cuyahoga County, OH (39035),119,"1,249,352",9.5
Fairfield County, OH (39045),12,"152,597",Unreliable
Franklin County, OH (39049),71,"1,264,518",5.6
Hamilton County, OH (39061),78,"809,099",9.6
Lake County, OH (39085),36,"228,614",15.7
Lorain County, OH (39093),25,"306,365",8.2
Lucas County, OH (39095),21,"432,488",4.9
Mahoning County, OH (39099),36,"230,008",15.7
Medina County, OH (39103),14,"177,221",Unreliable
Montgomery County, OH (39113),37,"531,239",7
Portage County, OH (39133),14,"161,921",Unreliable
Stark County, OH (39151),35,"373,612",9.4
Summit County, OH (39153),76,"540,300",14.1
Trumbull County, OH (39155),26,"201,825",12.9
Warren County, OH (39165),12,"227,063",Unreliable
Washington County, OH (39167),12,"60,610",Unreliable
Wayne County, OH (39169),14,"116,470",Unreliable
Canadian County, OK (40017),10,"136,532",Unreliable
Oklahoma County, OK (40109),59,"782,970",7.5
Tulsa County, OK (40143),38,"642,940",5.9
Clackamas County, OR (41005),13,"408,062",Unreliable
Jackson County, OR (41029),14,"216,527",Unreliable
Lane County, OR (41039),20,"369,519",5.4
Marion County, OR (41047),14,"336,316",Unreliable
Multnomah County, OR (41051),23,"799,766",2.9
Washington County, OR (41067),11,"582,779",Unreliable
Adams County, PA (42001),12,"102,180",Unreliable
Allegheny County, PA (42003),133,"1,225,365",10.9
Beaver County, PA (42007),24,"167,429",14.3
Berks County, PA (42011),27,"414,812",6.5
Blair County, PA (42013),12,"124,650",Unreliable
Bucks County, PA (42017),80,"626,399",12.8
Cambria County, PA (42021),14,"134,732",Unreliable
Chester County, PA (42029),33,"516,312",6.4
Cumberland County, PA (42041),19,"248,506",Unreliable
Dauphin County, PA (42043),19,"273,707",Unreliable
Delaware County, PA (42045),77,"563,402",13.7
Erie County, PA (42049),15,"276,207",Unreliable
Fayette County, PA (42051),24,"132,733",18.1
Franklin County, PA (42055),14,"153,851",Unreliable
Lancaster County, PA (42071),44,"538,500",8.2
Lebanon County, PA (42075),13,"138,863",Unreliable
Lehigh County, PA (42077),29,"363,147",8
Luzerne County, PA (42079),16,"316,383",Unreliable
Lycoming County, PA (42081),12,"115,248",Unreliable
Mercer County, PA (42085),11,"112,913",Unreliable
Montgomery County, PA (42091),65,"821,725",7.9
Northampton County, PA (42095),30,"302,294",9.9
