County,State(Code),Deaths,Population,Crude Rate Per 100000
Columbia County, GA (13073),11,"147,450",Unreliable
Coweta County, GA (13077),21,"140,526",14.9
DeKalb County, GA (13089),100,"740,321",13.5
Dougherty County, GA (13095),34,"90,017",37.8
Douglas County, GA (13097),27,"142,224",19
Fayette County, GA (13113),12,"111,627",Unreliable
Floyd County, GA (13115),27,"96,560",28
Forsyth County, GA (13117),28,"221,009",12.7
Fulton County, GA (13121),162,"1,023,336",15.8
Glynn County, GA (13127),23,"84,502",27.2
Gordon County, GA (13129),10,"56,904",Unreliable
Gwinnett County, GA (13135),105,"907,135",11.6
Hall County, GA (13139),17,"196,637",Unreliable
Henry County, GA (13151),31,"221,768",14
Houston County, GA (13153),50,"152,122",32.9
Jackson County, GA (13157),13,"64,615",Unreliable
Laurens County, GA (13175),16,"47,516",Unreliable
Liberty County, GA (13179),10,"62,570",Unreliable
Lowndes County, GA (13185),22,"114,628",19.2
Murray County, GA (13213),10,"39,315",Unreliable
Muscogee County, GA (13215),37,"197,485",18.7
Newton County, GA (13217),22,"106,999",20.6
Paulding County, GA (13223),18,"155,825",Unreliable
Pickens County, GA (13227),10,"30,832",Unreliable
Richmond County, GA (13245),46,"201,647",22.8
Rockdale County, GA (13247),19,"89,355",Unreliable
Spalding County, GA (13255),23,"64,806",35.5
Stephens County, GA (13257),15,"25,751",Unreliable
Sumter County, GA (13261),12,"30,389",Unreliable
Thomas County, GA (13275),11,"45,248",Unreliable
Troup County, GA (13285),19,"70,005",Unreliable
Upson County, GA (13293),13,"26,335",Unreliable
Walker County, GA (13295),19,"67,896",Unreliable
Walton County, GA (13297),20,"90,184",22.2
Ware County, GA (13299),13,"35,738",Unreliable
Washington County, GA (13303),15,"20,457",Unreliable
Wayne County, GA (13305),12,"30,104",Unreliable
Whitfield County, GA (13313),23,"104,589",22
Hawaii County, HI (15001),28,"198,449",14.1
Honolulu County, HI (15003),170,"992,605",17.1
Maui County, HI (15009),11,"165,386",Unreliable
Ada County, ID (16001),40,"444,028",9
Bonneville County, ID (16019),24,"112,232",21.4
Canyon County, ID (16027),20,"211,698",9.4
Kootenai County, ID (16055),11,"154,311",Unreliable
Twin Falls County, ID (16083),18,"83,514",Unreliable
Adams County, IL (17001),16,"66,578",Unreliable
Boone County, IL (17007),16,"53,503",Unreliable
Bureau County, IL (17011),18,"33,359",Unreliable
Champaign County, IL (17019),21,"208,419",10.1
Clark County, IL (17023),10,"15,938",Unreliable
Clay County, IL (17025),12,"13,300",Unreliable
Coles County, IL (17029),11,"52,343",Unreliable
Cook County, IL (17031),954,"5,203,499",18.3
DeKalb County, IL (17037),16,"104,528",Unreliable
DuPage County, IL (17043),126,"929,368",13.6
Edgar County, IL (17045),13,"17,566",Unreliable
Franklin County, IL (17055),21,"39,156",53.6
Henry County, IL (17073),14,"49,280",Unreliable
Jackson County, IL (17077),19,"58,870",Unreliable
Jefferson County, IL (17081),12,"38,460",Unreliable
Kane County, IL (17089),76,"531,715",14.3
Kankakee County, IL (17091),23,"110,008",20.9
Lake County, IL (17097),127,"703,047",18.1
LaSalle County, IL (17099),26,"110,642",23.5
Logan County, IL (17107),11,"29,527",Unreliable
McDonough County, IL (17109),11,"30,996",Unreliable
McHenry County, IL (17111),39,"307,004",12.7
McLean County, IL (17113),17,"172,418",Unreliable
Macon County, IL (17115),28,"106,550",26.3
Madison County, IL (17119),77,"265,759",29
Marion County, IL (17121),14,"38,140",Unreliable
Montgomery County, IL (17135),13,"28,952",Unreliable
