County,State(Code),Deaths,Population,Crude Rate Per 100000
Screven County, GA (13251),10,"14,044",Unreliable
Spalding County, GA (13255),28,"64,806",43.2
Stephens County, GA (13257),44,"25,751",170.9
Sumter County, GA (13261),14,"30,389",Unreliable
Terrell County, GA (13273),10,"8,967",Unreliable
Thomas County, GA (13275),21,"45,248",46.4
Tift County, GA (13277),24,"40,828",58.8
Toombs County, GA (13279),16,"27,196",Unreliable
Troup County, GA (13285),35,"70,005",50
Union County, GA (13291),14,"22,928",Unreliable
Upson County, GA (13293),16,"26,335",Unreliable
Walker County, GA (13295),42,"67,896",61.9
Walton County, GA (13297),35,"90,184",38.8
Ware County, GA (13299),30,"35,738",83.9
Washington County, GA (13303),10,"20,457",Unreliable
Wayne County, GA (13305),32,"30,104",106.3
White County, GA (13311),25,"28,884",86.6
Whitfield County, GA (13313),56,"104,589",53.5
Worth County, GA (13321),17,"20,748",Unreliable
Hawaii County, HI (15001),54,"198,449",27.2
Honolulu County, HI (15003),317,"992,605",31.9
Kauai County, HI (15007),34,"72,029",47.2
Maui County, HI (15009),40,"165,386",24.2
Ada County, ID (16001),183,"444,028",41.2
Bannock County, ID (16005),40,"84,377",47.4
Bingham County, ID (16011),14,"45,201",Unreliable
Bonner County, ID (16017),16,"42,536",Unreliable
Bonneville County, ID (16019),30,"112,232",26.7
Canyon County, ID (16027),73,"211,698",34.5
Gem County, ID (16045),15,"17,184",Unreliable
Jerome County, ID (16053),12,"22,994",Unreliable
Kootenai County, ID (16055),42,"154,311",27.2
Nez Perce County, ID (16069),24,"40,369",59.5
Twin Falls County, ID (16083),40,"83,514",47.9
Adams County, IL (17001),34,"66,578",51.1
Boone County, IL (17007),16,"53,503",Unreliable
Bureau County, IL (17011),18,"33,359",Unreliable
Champaign County, IL (17019),55,"208,419",26.4
Christian County, IL (17021),19,"33,309",Unreliable
Clark County, IL (17023),10,"15,938",Unreliable
Coles County, IL (17029),21,"52,343",40.1
Cook County, IL (17031),"1,427","5,203,499",27.4
Crawford County, IL (17033),10,"19,308",Unreliable
DeKalb County, IL (17037),24,"104,528",23
De Witt County, IL (17039),19,"16,226",Unreliable
Douglas County, IL (17041),11,"19,630",Unreliable
DuPage County, IL (17043),306,"929,368",32.9
Edgar County, IL (17045),10,"17,566",Unreliable
Effingham County, IL (17049),13,"34,386",Unreliable
Ford County, IL (17053),27,"13,575",198.9
Franklin County, IL (17055),21,"39,156",53.6
Fulton County, IL (17057),22,"35,536",61.9
Grundy County, IL (17063),12,"50,437",Unreliable
Henry County, IL (17073),14,"49,280",Unreliable
Iroquois County, IL (17075),31,"28,334",109.4
Jackson County, IL (17077),10,"58,870",Unreliable
Jefferson County, IL (17081),20,"38,460",52
Jersey County, IL (17083),17,"22,025",Unreliable
Jo Daviess County, IL (17085),20,"21,770",91.9
Kane County, IL (17089),72,"531,715",13.5
Kankakee County, IL (17091),49,"110,008",44.5
Kendall County, IL (17093),15,"124,695",Unreliable
Knox County, IL (17095),41,"50,938",80.5
Lake County, IL (17097),157,"703,047",22.3
LaSalle County, IL (17099),61,"110,642",55.1
Lawrence County, IL (17101),17,"16,377",Unreliable
Lee County, IL (17103),10,"34,251",Unreliable
Livingston County, IL (17105),14,"36,526",Unreliable
Logan County, IL (17107),13,"29,527",Unreliable
McHenry County, IL (17111),63,"307,004",20.5
McLean County, IL (17113),73,"172,418",42.3
Macon County, IL (17115),28,"106,550",26.3
Macoupin County, IL (17117),19,"45,908",Unreliable
Madison County, IL (17119),126,"265,759",47.4
Marion County, IL (17121),21,"38,140",55.1
Montgomery County, IL (17135),24,"28,952",82.9
Ogle County, IL (17141),17,"51,273",Unreliable
Peoria County, IL (17143),43,"185,006",23.2
Perry County, IL (17145),13,"21,357",Unreliable
Randolph County, IL (17157),12,"32,621",Unreliable
Rock Island County, IL (17161),52,"144,784",35.9
St. Clair County, IL (17163),82,"262,759",31.2
Saline County, IL (17165),11,"24,307",Unreliable
Sangamon County, IL (17167),53,"197,499",26.8
Stephenson County, IL (17177),12,"45,624",Unreliable
Tazewell County, IL (17179),57,"134,385",42.4
Vermilion County, IL (17183),22,"78,111",28.2
Whiteside County, IL (17195),16,"56,536",Unreliable
Will County, IL (17197),172,"689,529",24.9
Williamson County, IL (17199),32,"67,560",47.4
Winnebago County, IL (17201),106,"285,873",37.1
Woodford County, IL (17203),25,"39,140",63.9
Adams County, IN (18001),17,"35,232",Unreliable
Allen County, IN (18003),135,"370,404",36.4
Bartholomew County, IN (18005),29,"81,402",35.6
Boone County, IN (18011),22,"64,653",34
Cass County, IN (18017),20,"37,946",52.7
Clark County, IN (18019),36,"116,031",31
Clay County, IN (18021),16,"26,309",Unreliable
Clinton County, IN (18023),20,"32,457",61.6
Daviess County, IN (18027),17,"32,969",Unreliable
Dearborn County, IN (18029),18,"49,331",Unreliable
Decatur County, IN (18031),11,"26,598",Unreliable
De Kalb County, IN (18033),25,"42,746",58.5
Delaware County, IN (18035),40,"115,603",34.6
Dubois County, IN (18037),39,"42,552",91.7
Elkhart County, IN (18039),101,"203,781",49.6
Fayette County, IN (18041),13,"23,331",Unreliable
Floyd County, IN (18043),60,"76,990",77.9
Fulton County, IN (18049),10,"20,139",Unreliable
Gibson County, IN (18051),26,"33,703",77.1
Grant County, IN (18053),45,"66,937",67.2
Greene County, IN (18055),24,"32,211",74.5
Hamilton County, IN (18057),73,"316,373",23.1
Hancock County, IN (18059),35,"73,717",47.5
Harrison County, IN (18061),22,"39,826",55.2
Hendricks County, IN (18063),38,"160,610",23.7
Henry County, IN (18065),18,"48,521",Unreliable
Howard County, IN (18067),38,"82,568",46
Huntington County, IN (18069),12,"36,400",Unreliable
Jackson County, IN (18071),24,"44,013",54.5
Jasper County, IN (18073),10,"33,433",Unreliable
Jay County, IN (18075),11,"21,046",Unreliable
Johnson County, IN (18081),66,"151,982",43.4
Knox County, IN (18083),19,"37,744",Unreliable
Kosciusko County, IN (18085),26,"79,092",32.9
Lake County, IN (18089),140,"485,846",28.8
La Porte County, IN (18091),32,"110,015",29.1
Lawrence County, IN (18093),30,"45,518",65.9
Madison County, IN (18095),74,"129,296",57.2
Marion County, IN (18097),284,"941,229",30.2
Marshall County, IN (18099),32,"46,556",68.7
Miami County, IN (18103),14,"35,883",Unreliable
Monroe County, IN (18105),47,"145,496",32.3
Montgomery County, IN (18107),21,"38,074",55.2
Morgan County, IN (18109),21,"69,698",30.1
Noble County, IN (18113),18,"47,638",Unreliable
Orange County, IN (18117),17,"19,335",Unreliable
Perry County, IN (18123),12,"18,966",Unreliable
Pike County, IN (18125),10,"12,431",Unreliable
Porter County, IN (18127),75,"167,791",44.7
Posey County, IN (18129),16,"25,476",Unreliable
Putnam County, IN (18133),17,"37,436",Unreliable
Ripley County, IN (18137),10,"28,846",Unreliable
Rush County, IN (18139),10,"16,649",Unreliable
St. Joseph County, IN (18141),123,"269,141",45.7
Scott County, IN (18143),12,"23,730",Unreliable
Shelby County, IN (18145),16,"44,324",Unreliable
Spencer County, IN (18147),15,"20,648",Unreliable
Sullivan County, IN (18153),13,"20,802",Unreliable
Tippecanoe County, IN (18157),57,"188,059",30.3
Vanderburgh County, IN (18163),93,"181,721",51.2
Vermillion County, IN (18165),12,"15,645",Unreliable
Vigo County, IN (18167),77,"107,931",71.3
Wabash County, IN (18169),27,"31,762",85
Warrick County, IN (18173),35,"62,498",56
Wayne County, IN (18177),34,"66,568",51.1
Wells County, IN (18179),15,"27,949",Unreliable
White County, IN (18181),17,"23,999",Unreliable
Whitley County, IN (18183),14,"33,449",Unreliable
Allamakee County, IA (19005),15,"13,884",Unreliable
Appanoose County, IA (19007),10,"12,462",Unreliable
Black Hawk County, IA (19013),44,"132,904",33.1
Boone County, IA (19015),23,"26,532",86.7
Buchanan County, IA (19019),10,"20,992",Unreliable
Cerro Gordo County, IA (19033),31,"43,070",72
Clinton County, IA (19045),33,"47,309",69.8
Crawford County, IA (19047),11,"16,940",Unreliable
Dallas County, IA (19049),48,"84,516",56.8
Des Moines County, IA (19057),25,"39,739",62.9
Dickinson County, IA (19059),11,"17,243",Unreliable
Dubuque County, IA (19061),63,"97,003",64.9
Fayette County, IA (19065),14,"20,054",Unreliable
Hamilton County, IA (19079),13,"15,076",Unreliable
Hardin County, IA (19083),12,"17,226",Unreliable
Iowa County, IA (19095),10,"16,311",Unreliable
Jasper County, IA (19099),10,"36,708",Unreliable
Johnson County, IA (19103),22,"146,547",15
Lee County, IA (19111),32,"34,615",92.4
Linn County, IA (19113),115,"221,661",51.9
Madison County, IA (19121),12,"15,848",Unreliable
Mahaska County, IA (19123),23,"22,181",103.7
Marion County, IA (19125),17,"33,189",Unreliable
Marshall County, IA (19127),23,"40,312",57.1
Muscatine County, IA (19139),12,"42,940",Unreliable
O'Brien County, IA (19141),13,"14,020",Unreliable
Plymouth County, IA (19149),18,"25,200",Unreliable
Polk County, IA (19153),161,"474,045",34
Pottawattamie County, IA (19155),45,"93,582",48.1
Scott County, IA (19163),65,"172,474",37.7
Shelby County, IA (19165),16,"11,800",Unreliable
Sioux County, IA (19167),18,"34,898",Unreliable
Story County, IA (19169),13,"97,090",Unreliable
Tama County, IA (19171),13,"17,319",Unreliable
Wapello County, IA (19179),30,"34,982",85.8
Warren County, IA (19181),35,"49,691",70.4
Webster County, IA (19187),20,"36,769",54.4
Woodbury County, IA (19193),18,"102,779",Unreliable
Barton County, KS (20009),12,"26,775",Unreliable
Bourbon County, KS (20011),12,"14,617",Unreliable
Butler County, KS (20015),14,"67,025",Unreliable
Cowley County, KS (20035),18,"35,753",Unreliable
Crawford County, KS (20037),34,"39,164",86.8
Douglas County, KS (20045),28,"119,440",23.4
Ellis County, KS (20051),13,"28,893",Unreliable
Franklin County, KS (20059),12,"25,560",Unreliable
Harvey County, KS (20079),23,"34,913",65.9
Jefferson County, KS (20087),12,"18,897",Unreliable
Johnson County, KS (20091),105,"584,451",18
Leavenworth County, KS (20103),22,"80,204",27.4
Lyon County, KS (20111),15,"33,510",Unreliable
