County,State(Code),Deaths,Population,Crude Rate Per 100000
Hartford County, CT (09003),502,"892,389",56.3
Litchfield County, CT (09005),107,"182,571",58.6
Middlesex County, CT (09007),105,"163,329",64.3
New Haven County, CT (09009),523,"856,875",61
New London County, CT (09011),169,"269,801",62.6
Tolland County, CT (09013),76,"151,118",50.3
Windham County, CT (09015),71,"116,192",61.1
Kent County, DE (10001),97,"174,827",55.5
New Castle County, DE (10003),275,"556,987",49.4
Sussex County, DE (10005),144,"220,251",65.4
District of Columbia, DC (11001),401,"681,170",58.9
Alachua County, FL (12001),121,"263,496",45.9
Baker County, FL (12003),19,"27,937",Unreliable
Bay County, FL (12005),121,"183,974",65.8
Bradford County, FL (12007),21,"26,926",78
Brevard County, FL (12009),441,"579,130",76.1
Broward County, FL (12011),"1,080","1,909,632",56.6
Charlotte County, FL (12015),102,"178,465",57.2
Citrus County, FL (12017),162,"143,621",112.8
Clay County, FL (12019),151,"208,311",72.5
Collier County, FL (12021),218,"365,136",59.7
Columbia County, FL (12023),38,"69,299",54.8
DeSoto County, FL (12027),22,"35,800",61.5
Dixie County, FL (12029),16,"16,300",Unreliable
Duval County, FL (12031),758,"926,255",81.8
Escambia County, FL (12033),150,"315,187",47.6
Flagler County, FL (12035),55,"108,310",50.8
Franklin County, FL (12037),10,"11,901",Unreliable
Gadsden County, FL (12039),24,"46,006",52.2
Gilchrist County, FL (12041),10,"17,212",Unreliable
Hardee County, FL (12049),18,"27,360",Unreliable
Hendry County, FL (12051),31,"39,290",78.9
Hernando County, FL (12053),152,"182,835",83.1
Highlands County, FL (12055),78,"100,917",77.3
Hillsborough County, FL (12057),770,"1,376,238",55.9
Holmes County, FL (12059),14,"19,487",Unreliable
Indian River County, FL (12061),108,"151,563",71.3
Jackson County, FL (12063),31,"48,229",64.3
Jefferson County, FL (12065),12,"13,906",Unreliable
Lake County, FL (12069),279,"335,396",83.2
Lee County, FL (12071),478,"722,336",66.2
Leon County, FL (12073),106,"287,822",36.8
Levy County, FL (12075),35,"39,961",87.6
Madison County, FL (12079),12,"18,224",Unreliable
Manatee County, FL (12081),362,"375,888",96.3
Marion County, FL (12083),436,"349,020",124.9
Martin County, FL (12085),110,"158,701",69.3
Miami-Dade County, FL (12086),971,"2,712,945",35.8
Monroe County, FL (12087),73,"79,077",92.3
Nassau County, FL (12089),67,"80,622",83.1
Okaloosa County, FL (12091),105,"201,170",52.2
Okeechobee County, FL (12093),27,"40,314",67
Orange County, FL (12095),536,"1,314,367",40.8
Osceola County, FL (12097),151,"336,015",44.9
Palm Beach County, FL (12099),"1,001","1,443,810",69.3
Pasco County, FL (12101),398,"512,368",77.7
Pinellas County, FL (12103),749,"960,730",78
Polk County, FL (12105),399,"666,149",59.9
Putnam County, FL (12107),66,"72,277",91.3
St. Johns County, FL (12109),118,"235,087",50.2
St. Lucie County, FL (12111),197,"306,507",64.3
Santa Rosa County, FL (12113),63,"170,497",37
Sarasota County, FL (12115),287,"412,569",69.6
Seminole County, FL (12117),188,"455,479",41.3
Sumter County, FL (12119),105,"123,996",84.7
Suwannee County, FL (12121),39,"43,794",89.1
Taylor County, FL (12123),23,"22,175",103.7
Volusia County, FL (12127),333,"529,364",62.9
Wakulla County, FL (12129),24,"31,893",75.3
Walton County, FL (12131),34,"65,889",51.6
Appling County, GA (13001),10,"18,428",Unreliable
Baldwin County, GA (13009),16,"45,144",Unreliable
Banks County, GA (13011),12,"18,397",Unreliable
Barrow County, GA (13013),33,"77,126",42.8
Bartow County, GA (13015),67,"103,807",64.5
Berrien County, GA (13019),11,"18,993",Unreliable
Bibb County, GA (13021),90,"152,760",58.9
Brantley County, GA (13025),21,"18,355",114.4
Bryan County, GA (13029),17,"36,230",Unreliable
Bulloch County, GA (13031),31,"74,722",41.5
Burke County, GA (13033),21,"22,688",92.6
Butts County, GA (13035),11,"23,817",Unreliable
Camden County, GA (13039),18,"53,008",Unreliable
Carroll County, GA (13045),73,"116,261",62.8
Catoosa County, GA (13047),46,"66,398",69.3
Chatham County, GA (13051),146,"289,082",50.5
Chattooga County, GA (13055),25,"24,824",100.7
Cherokee County, GA (13057),95,"241,689",39.3
Clarke County, GA (13059),50,"124,707",40.1
Clayton County, GA (13063),100,"279,462",35.8
Cobb County, GA (13067),262,"748,150",35
Coffee County, GA (13069),32,"43,012",74.4
Colquitt County, GA (13071),25,"45,708",54.7
Columbia County, GA (13073),54,"147,450",36.6
Coweta County, GA (13077),61,"140,526",43.4
Crawford County, GA (13079),11,"12,322",Unreliable
Dawson County, GA (13085),13,"23,604",Unreliable
Decatur County, GA (13087),15,"26,822",Unreliable
DeKalb County, GA (13089),238,"740,321",32.1
Dodge County, GA (13091),10,"20,563",Unreliable
Dougherty County, GA (13095),38,"90,017",42.2
Douglas County, GA (13097),74,"142,224",52
Effingham County, GA (13103),33,"58,712",56.2
Elbert County, GA (13105),14,"19,143",Unreliable
Emanuel County, GA (13107),13,"22,635",Unreliable
Fannin County, GA (13111),21,"24,900",84.3
Fayette County, GA (13113),34,"111,627",30.5
Floyd County, GA (13115),61,"96,560",63.2
Forsyth County, GA (13117),51,"221,009",23.1
Franklin County, GA (13119),17,"22,320",Unreliable
Fulton County, GA (13121),436,"1,023,336",42.6
Gilmer County, GA (13123),17,"29,733",Unreliable
Glynn County, GA (13127),38,"84,502",45
Gordon County, GA (13129),36,"56,904",63.3
Grady County, GA (13131),13,"24,808",Unreliable
Gwinnett County, GA (13135),259,"907,135",28.6
Habersham County, GA (13137),29,"44,246",65.5
Hall County, GA (13139),92,"196,637",46.8
Haralson County, GA (13143),27,"29,042",93
Harris County, GA (13145),15,"33,652",Unreliable
Heard County, GA (13149),11,"11,487",Unreliable
Henry County, GA (13151),96,"221,768",43.3
