County,State (Code),Deaths,Population,Crude Rate Per 100000
Sedgwick County, KS (20173),57,"511,995",11.1
Shawnee County, KS (20177),35,"178,146",19.6
Campbell County, KY (21037),10,"92,211",Unreliable
Daviess County, KY (21059),13,"99,674",Unreliable
Fayette County, KY (21067),19,"318,449",Unreliable
Hardin County, KY (21093),12,"107,316",Unreliable
Jefferson County, KY (21111),78,"765,352",10.2
Kenton County, KY (21117),11,"164,945",Unreliable
Warren County, KY (21227),14,"125,532",Unreliable
Caddo Parish, LA (22017),17,"248,851",Unreliable
Calcasieu Parish, LA (22019),21,"200,601",10.5
East Baton Rouge Parish, LA (22033),36,"447,037",8.1
Iberia Parish, LA (22045),16,"73,273",Unreliable
Jefferson Parish, LA (22051),47,"436,523",10.8
Lafayette Parish, LA (22055),16,"241,398",Unreliable
Lafourche Parish, LA (22057),10,"98,305",Unreliable
Orleans Parish, LA (22071),26,"391,495",6.6
Ouachita Parish, LA (22073),19,"156,983",Unreliable
Rapides Parish, LA (22079),17,"132,424",Unreliable
St. Tammany Parish, LA (22103),24,"253,602",9.5
Tangipahoa Parish, LA (22105),12,"130,710",Unreliable
Androscoggin County, ME (23001),11,"107,319",Unreliable
Cumberland County, ME (23005),42,"292,041",14.4
Kennebec County, ME (23011),16,"120,569",Unreliable
Penobscot County, ME (23019),15,"151,806",Unreliable
York County, ME (23031),26,"202,343",12.8
Anne Arundel County, MD (24003),45,"568,346",7.9
Baltimore County, MD (24005),65,"831,026",7.8
Carroll County, MD (24013),22,"167,656",13.1
Cecil County, MD (24015),13,"102,603",Unreliable
Charles County, MD (24017),10,"157,705",Unreliable
Frederick County, MD (24021),32,"247,591",12.9
Harford County, MD (24025),29,"251,032",11.6
Howard County, MD (24027),22,"317,233",6.9
Montgomery County, MD (24031),107,"1,043,863",10.3
Prince George's County, MD (24033),39,"908,049",4.3
St. Mary's County, MD (24037),10,"112,587",Unreliable
Washington County, MD (24043),12,"150,292",Unreliable
Wicomico County, MD (24045),11,"102,577",Unreliable
Baltimore city, MD (24510),34,"614,664",5.5
Barnstable County, MA (25001),40,"214,276",18.7
Berkshire County, MA (25003),21,"126,903",16.5
Bristol County, MA (25005),48,"558,324",8.6
Essex County, MA (25009),85,"779,018",10.9
Hampden County, MA (25013),45,"468,467",9.6
Hampshire County, MA (25015),13,"161,816",Unreliable
Middlesex County, MA (25017),138,"1,589,774",8.7
Norfolk County, MA (25021),70,"697,181",10
Plymouth County, MA (25023),60,"513,565",11.7
Suffolk County, MA (25025),46,"784,230",5.9
Worcester County, MA (25027),62,"819,589",7.6
Allegan County, MI (26005),15,"115,548",Unreliable
Bay County, MI (26017),11,"104,747",Unreliable
Berrien County, MI (26021),11,"154,010",Unreliable
Calhoun County, MI (26025),23,"134,386",17.1
Eaton County, MI (26045),17,"109,160",Unreliable
Genesee County, MI (26049),47,"408,615",11.5
Grand Traverse County, MI (26055),11,"92,084",Unreliable
Ingham County, MI (26065),25,"288,051",8.7
Kalamazoo County, MI (26077),30,"261,654",11.5
Kent County, MI (26081),50,"642,173",7.8
Lenawee County, MI (26091),19,"98,504",Unreliable
Macomb County, MI (26099),63,"867,730",7.3
Marquette County, MI (26103),11,"66,435",Unreliable
