County,State (Code),Deaths,Population,Crude Rate Per 100000
Hall County, GA (13139),40,"196,637",20.3
Henry County, GA (13151),42,"221,768",18.9
Houston County, GA (13153),34,"152,122",22.4
Jackson County, GA (13157),12,"64,615",Unreliable
Lamar County, GA (13171),13,"18,469",Unreliable
Laurens County, GA (13175),14,"47,516",Unreliable
Liberty County, GA (13179),12,"62,570",Unreliable
Lowndes County, GA (13185),36,"114,628",31.4
McDuffie County, GA (13189),10,"21,490",Unreliable
Macon County, GA (13193),12,"13,450",Unreliable
Murray County, GA (13213),12,"39,315",Unreliable
Muscogee County, GA (13215),62,"197,485",31.4
Newton County, GA (13217),37,"106,999",34.6
Paulding County, GA (13223),15,"155,825",Unreliable
Peach County, GA (13225),15,"26,655",Unreliable
Pierce County, GA (13229),12,"19,171",Unreliable
Richmond County, GA (13245),51,"201,647",25.3
Rockdale County, GA (13247),35,"89,355",39.2
Spalding County, GA (13255),29,"64,806",44.7
Stephens County, GA (13257),11,"25,751",Unreliable
Sumter County, GA (13261),14,"30,389",Unreliable
Terrell County, GA (13273),13,"8,967",Unreliable
Thomas County, GA (13275),13,"45,248",Unreliable
Troup County, GA (13285),29,"70,005",41.4
Union County, GA (13291),11,"22,928",Unreliable
Walker County, GA (13295),12,"67,896",Unreliable
Walton County, GA (13297),18,"90,184",Unreliable
Ware County, GA (13299),10,"35,738",Unreliable
Wayne County, GA (13305),10,"30,104",Unreliable
Whitfield County, GA (13313),31,"104,589",29.6
Worth County, GA (13321),11,"20,748",Unreliable
Hawaii County, HI (15001),30,"198,449",15.1
Honolulu County, HI (15003),198,"992,605",19.9
Kauai County, HI (15007),21,"72,029",29.2
Maui County, HI (15009),36,"165,386",21.8
Ada County, ID (16001),76,"444,028",17.1
Bannock County, ID (16005),25,"84,377",29.6
Bingham County, ID (16011),16,"45,201",Unreliable
Bonner County, ID (16017),14,"42,536",Unreliable
Bonneville County, ID (16019),24,"112,232",21.4
Canyon County, ID (16027),36,"211,698",17
Kootenai County, ID (16055),35,"154,311",22.7
Nez Perce County, ID (16069),24,"40,369",59.5
Twin Falls County, ID (16083),21,"83,514",25.1
Adams County, IL (17001),11,"66,578",Unreliable
Boone County, IL (17007),18,"53,503",Unreliable
Bureau County, IL (17011),10,"33,359",Unreliable
Champaign County, IL (17019),14,"208,419",Unreliable
Clinton County, IL (17027),10,"37,729",Unreliable
Cook County, IL (17031),"1,147","5,203,499",22
DeKalb County, IL (17037),26,"104,528",24.9
DuPage County, IL (17043),120,"929,368",12.9
Franklin County, IL (17055),15,"39,156",Unreliable
Grundy County, IL (17063),14,"50,437",Unreliable
Henry County, IL (17073),15,"49,280",Unreliable
Iroquois County, IL (17075),19,"28,334",Unreliable
Jackson County, IL (17077),10,"58,870",Unreliable
Jefferson County, IL (17081),23,"38,460",59.8
Jersey County, IL (17083),10,"22,025",Unreliable
Kane County, IL (17089),85,"531,715",16
Kankakee County, IL (17091),22,"110,008",20
Kendall County, IL (17093),11,"124,695",Unreliable
Knox County, IL (17095),28,"50,938",55
Lake County, IL (17097),112,"703,047",15.9
LaSalle County, IL (17099),37,"110,642",33.4
Lawrence County, IL (17101),12,"16,377",Unreliable
Livingston County, IL (17105),10,"36,526",Unreliable
McHenry County, IL (17111),65,"307,004",21.2
McLean County, IL (17113),22,"172,418",12.8
Macon County, IL (17115),20,"106,550",18.8
Macoupin County, IL (17117),17,"45,908",Unreliable
Madison County, IL (17119),76,"265,759",28.6
Marion County, IL (17121),22,"38,140",57.7
Peoria County, IL (17143),51,"185,006",27.6
Perry County, IL (17145),12,"21,357",Unreliable
Pike County, IL (17149),10,"15,950",Unreliable
Rock Island County, IL (17161),30,"144,784",20.7
St. Clair County, IL (17163),75,"262,759",28.5
Saline County, IL (17165),12,"24,307",Unreliable
Sangamon County, IL (17167),54,"197,499",27.3
Stephenson County, IL (17177),22,"45,624",48.2
Tazewell County, IL (17179),29,"134,385",21.6
Vermilion County, IL (17183),21,"78,111",26.9
Whiteside County, IL (17195),19,"56,536",Unreliable
Will County, IL (17197),114,"689,529",16.5
Williamson County, IL (17199),19,"67,560",Unreliable
Winnebago County, IL (17201),67,"285,873",23.4
Woodford County, IL (17203),12,"39,140",Unreliable
Adams County, IN (18001),12,"35,232",Unreliable
Allen County, IN (18003),127,"370,404",34.3
Bartholomew County, IN (18005),12,"81,402",Unreliable
Boone County, IN (18011),23,"64,653",35.6
Cass County, IN (18017),26,"37,946",68.5
Clark County, IN (18019),21,"116,031",18.1
Daviess County, IN (18027),10,"32,969",Unreliable
Dearborn County, IN (18029),12,"49,331",Unreliable
Delaware County, IN (18035),68,"115,603",58.8
Dubois County, IN (18037),12,"42,552",Unreliable
Elkhart County, IN (18039),61,"203,781",29.9
Fayette County, IN (18041),10,"23,331",Unreliable
Floyd County, IN (18043),33,"76,990",42.9
Fulton County, IN (18049),10,"20,139",Unreliable
Gibson County, IN (18051),13,"33,703",Unreliable
Grant County, IN (18053),35,"66,937",52.3
Greene County, IN (18055),15,"32,211",Unreliable
Hamilton County, IN (18057),59,"316,373",18.6
Hancock County, IN (18059),11,"73,717",Unreliable
Hendricks County, IN (18063),35,"160,610",21.8
Henry County, IN (18065),18,"48,521",Unreliable
Howard County, IN (18067),47,"82,568",56.9
Huntington County, IN (18069),22,"36,400",60.4
Jackson County, IN (18071),17,"44,013",Unreliable
Jay County, IN (18075),18,"21,046",Unreliable
Jefferson County, IN (18077),10,"32,418",Unreliable
