County,State (Code),Deaths,Population,Crude Rate Per 100000
Madison County, IL (17119),52,"265,759",19.6
Peoria County, IL (17143),43,"185,006",23.2
Rock Island County, IL (17161),30,"144,784",20.7
St. Clair County, IL (17163),65,"262,759",24.7
Saline County, IL (17165),11,"24,307",Unreliable
Sangamon County, IL (17167),34,"197,499",17.2
Tazewell County, IL (17179),27,"134,385",20.1
Vermilion County, IL (17183),11,"78,111",Unreliable
Will County, IL (17197),45,"689,529",6.5
Williamson County, IL (17199),26,"67,560",38.5
Winnebago County, IL (17201),31,"285,873",10.8
Allen County, IN (18003),54,"370,404",14.6
Clark County, IN (18019),36,"116,031",31
Clay County, IN (18021),10,"26,309",Unreliable
Daviess County, IN (18027),11,"32,969",Unreliable
Delaware County, IN (18035),31,"115,603",26.8
Dubois County, IN (18037),11,"42,552",Unreliable
Elkhart County, IN (18039),27,"203,781",13.2
Floyd County, IN (18043),13,"76,990",Unreliable
Gibson County, IN (18051),12,"33,703",Unreliable
Grant County, IN (18053),15,"66,937",Unreliable
Greene County, IN (18055),11,"32,211",Unreliable
Hamilton County, IN (18057),21,"316,373",6.6
Hancock County, IN (18059),14,"73,717",Unreliable
Henry County, IN (18065),10,"48,521",Unreliable
Howard County, IN (18067),28,"82,568",33.9
Johnson County, IN (18081),24,"151,982",15.8
Kosciusko County, IN (18085),17,"79,092",Unreliable
Lake County, IN (18089),131,"485,846",27
La Porte County, IN (18091),26,"110,015",23.6
Madison County, IN (18095),38,"129,296",29.4
Marion County, IN (18097),152,"941,229",16.1
Miami County, IN (18103),10,"35,883",Unreliable
Monroe County, IN (18105),22,"145,496",15.1
Porter County, IN (18127),26,"167,791",15.5
St. Joseph County, IN (18141),53,"269,141",19.7
Tippecanoe County, IN (18157),23,"188,059",12.2
Vanderburgh County, IN (18163),37,"181,721",20.4
Vigo County, IN (18167),32,"107,931",29.6
Wabash County, IN (18169),11,"31,762",Unreliable
Warrick County, IN (18173),11,"62,498",Unreliable
Wayne County, IN (18177),12,"66,568",Unreliable
Cerro Gordo County, IA (19033),11,"43,070",Unreliable
Linn County, IA (19113),13,"221,661",Unreliable
Polk County, IA (19153),37,"474,045",7.8
Pottawattamie County, IA (19155),10,"93,582",Unreliable
Scott County, IA (19163),15,"172,474",Unreliable
Woodbury County, IA (19193),15,"102,779",Unreliable
Butler County, KS (20015),15,"67,025",Unreliable
Johnson County, KS (20091),47,"584,451",8
Reno County, KS (20155),13,"63,220",Unreliable
Sedgwick County, KS (20173),79,"511,995",15.4
Shawnee County, KS (20177),20,"178,146",11.2
Wyandotte County, KS (20209),18,"163,831",Unreliable
Barren County, KY (21009),11,"43,993",Unreliable
Bell County, KY (21013),11,"27,117",Unreliable
Boone County, KY (21015),16,"128,536",Unreliable
Boyd County, KY (21019),18,"48,132",Unreliable
Boyle County, KY (21021),12,"30,018",Unreliable
Campbell County, KY (21037),11,"92,211",Unreliable
Daviess County, KY (21059),22,"99,674",22.1
Fayette County, KY (21067),40,"318,449",12.6
Floyd County, KY (21071),10,"37,110",Unreliable
Franklin County, KY (21073),16,"50,560",Unreliable
Graves County, KY (21083),11,"37,182",Unreliable
Grayson County, KY (21085),11,"26,184",Unreliable
Hardin County, KY (21093),14,"107,316",Unreliable
Harlan County, KY (21095),11,"27,168",Unreliable
Henderson County, KY (21101),10,"46,253",Unreliable
Jefferson County, KY (21111),175,"765,352",22.9
Kenton County, KY (21117),26,"164,945",15.8
Knox County, KY (21121),11,"31,687",Unreliable
Laurel County, KY (21125),13,"60,250",Unreliable
Madison County, KY (21151),11,"89,547",Unreliable
Perry County, KY (21193),12,"27,343",Unreliable
Pike County, KY (21195),14,"60,555",Unreliable
Pulaski County, KY (21199),19,"63,956",Unreliable
Warren County, KY (21227),26,"125,532",20.7
Whitley County, KY (21235),14,"36,096",Unreliable
Acadia Parish, LA (22001),10,"62,645",Unreliable
Ascension Parish, LA (22005),15,"121,587",Unreliable
Beauregard Parish, LA (22011),14,"36,927",Unreliable
Bossier Parish, LA (22015),25,"126,057",19.8
Caddo Parish, LA (22017),55,"248,851",22.1
Calcasieu Parish, LA (22019),41,"200,601",20.4
East Baton Rouge Parish, LA (22033),98,"447,037",21.9
Iberia Parish, LA (22045),16,"73,273",Unreliable
Jefferson Parish, LA (22051),97,"436,523",22.2
Lafayette Parish, LA (22055),41,"241,398",17
Lafourche Parish, LA (22057),22,"98,305",22.4
Livingston Parish, LA (22063),25,"140,138",17.8
Morehouse Parish, LA (22067),10,"26,071",Unreliable
Natchitoches Parish, LA (22069),12,"39,162",Unreliable
Orleans Parish, LA (22071),88,"391,495",22.5
Ouachita Parish, LA (22073),13,"156,983",Unreliable
Rapides Parish, LA (22079),37,"132,424",27.9
St. John the Baptist Parish, LA (22095),12,"43,631",Unreliable
St. Landry Parish, LA (22097),28,"83,883",33.4
St. Martin Parish, LA (22099),12,"54,007",Unreliable
St. Mary Parish, LA (22101),10,"52,093",Unreliable
St. Tammany Parish, LA (22103),40,"253,602",15.8
Tangipahoa Parish, LA (22105),32,"130,710",24.5
Terrebonne Parish, LA (22109),23,"113,220",20.3
Vermilion Parish, LA (22113),10,"60,205",Unreliable
Vernon Parish, LA (22115),11,"50,569",Unreliable
Washington Parish, LA (22117),13,"46,310",Unreliable
Webster Parish, LA (22119),13,"39,710",Unreliable
Androscoggin County, ME (23001),19,"107,319",Unreliable
Cumberland County, ME (23005),21,"292,041",7.2
Oxford County, ME (23017),11,"57,217",Unreliable
Penobscot County, ME (23019),19,"151,806",Unreliable
York County, ME (23031),25,"202,343",12.4
Allegany County, MD (24001),16,"72,130",Unreliable
Anne Arundel County, MD (24003),90,"568,346",15.8
Baltimore County, MD (24005),168,"831,026",20.2
Calvert County, MD (24009),11,"91,251",Unreliable
Carroll County, MD (24013),52,"167,656",31
Cecil County, MD (24015),11,"102,603",Unreliable
Charles County, MD (24017),11,"157,705",Unreliable
Frederick County, MD (24021),20,"247,591",8.1
Harford County, MD (24025),25,"251,032",10
Howard County, MD (24027),24,"317,233",7.6
Montgomery County, MD (24031),108,"1,043,863",10.3
Prince George's County, MD (24033),99,"908,049",10.9
Washington County, MD (24043),21,"150,292",14
Wicomico County, MD (24045),21,"102,577",20.5
Worcester County, MD (24047),10,"51,444",Unreliable
Baltimore city, MD (24510),149,"614,664",24.2
Barnstable County, MA (25001),46,"214,276",21.5
Berkshire County, MA (25003),19,"126,903",Unreliable
Bristol County, MA (25005),85,"558,324",15.2
Essex County, MA (25009),89,"779,018",11.4
Hampden County, MA (25013),61,"468,467",13
Middlesex County, MA (25017),168,"1,589,774",10.6
Norfolk County, MA (25021),94,"697,181",13.5
Plymouth County, MA (25023),90,"513,565",17.5
Suffolk County, MA (25025),67,"784,230",8.5
Worcester County, MA (25027),127,"819,589",15.5
Allegan County, MI (26005),10,"115,548",Unreliable
Bay County, MI (26017),10,"104,747",Unreliable
Berrien County, MI (26021),31,"154,010",20.1
Calhoun County, MI (26025),20,"134,386",14.9
Delta County, MI (26041),14,"36,202",Unreliable
Genesee County, MI (26049),39,"408,615",9.5
Grand Traverse County, MI (26055),14,"92,084",Unreliable
Huron County, MI (26063),10,"31,481",Unreliable
Ingham County, MI (26065),18,"288,051",Unreliable
Jackson County, MI (26075),15,"158,460",Unreliable
Kalamazoo County, MI (26077),30,"261,654",11.5
Kent County, MI (26081),53,"642,173",8.3
Lapeer County, MI (26087),22,"88,340",24.9
Lenawee County, MI (26091),16,"98,504",Unreliable
Livingston County, MI (26093),19,"188,624",Unreliable
Macomb County, MI (26099),108,"867,730",12.4
Monroe County, MI (26115),26,"149,208",17.4
Muskegon County, MI (26121),20,"173,408",11.5
Oakland County, MI (26125),144,"1,243,970",11.6
Ottawa County, MI (26139),23,"282,250",8.1
Roscommon County, MI (26143),12,"23,700",Unreliable
Saginaw County, MI (26145),30,"192,326",15.6
St. Clair County, MI (26147),19,"159,587",Unreliable
St. Joseph County, MI (26149),10,"60,853",Unreliable
Tuscola County, MI (26157),11,"53,338",Unreliable
Washtenaw County, MI (26161),20,"364,709",5.5
Wayne County, MI (26163),289,"1,749,366",16.5
Anoka County, MN (27003),12,"345,957",Unreliable
Dakota County, MN (27037),24,"417,486",5.7
Hennepin County, MN (27053),85,"1,232,483",6.9
Itasca County, MN (27061),13,"45,242",Unreliable
Ramsey County, MN (27123),47,"540,649",8.7
St. Louis County, MN (27137),16,"199,980",Unreliable
Washington County, MN (27163),12,"253,117",Unreliable
Wright County, MN (27171),14,"132,550",Unreliable
Alcorn County, MS (28003),16,"37,304",Unreliable
Bolivar County, MS (28011),18,"32,737",Unreliable
DeSoto County, MS (28033),13,"175,611",Unreliable
Forrest County, MS (28035),17,"75,979",Unreliable
Hancock County, MS (28045),14,"46,791",Unreliable
Harrison County, MS (28047),39,"203,234",19.2
Hinds County, MS (28049),47,"241,229",19.5
Jackson County, MS (28059),24,"141,241",17
Jones County, MS (28067),19,"67,953",Unreliable
Lamar County, MS (28073),10,"60,914",Unreliable
Lauderdale County, MS (28075),10,"77,755",Unreliable
